br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
101,208,SC,SAO JOSE,82,0,19,193,0.0,0.0,0.019515496601726398,Múltipla,Sim
101,207,SC,SAO JOSE,79,0,11,191,0.0,0.0,0.01971581840920872,Dupla,Sim
101,270,ES,SERRA,72,1,20,196,0.00510204081632653,0.0009012039505642035,0.028329261315080793,Dupla,Sim
101,205,SC,SAO JOSE,72,1,18,147,0.006802721088435374,0.001201858351673784,0.03752395924757054,Múltipla,Não
101,206,SC,SAO JOSE,67,3,17,159,0.018867924528301886,0.006437210968819121,0.05399861963578523,Múltipla,Sim
101,204,SC,SAO JOSE,67,0,11,147,0.0,0.0,0.0254668633592339,Dupla,Sim
116,219,SP,GUARULHOS,67,1,8,158,0.006329113924050633,0.0011181190763210579,0.03497559178898904,Múltipla,Sim
116,228,SP,SAO PAULO,58,5,10,141,0.03546099290780142,0.015240176278430606,0.08032264760771307,Múltipla,Sim
101,70,PE,RECIFE,57,4,16,135,0.02962962962962963,0.01158145671544433,0.07370617221956056,Dupla,Sim
101,214,SC,PALHOCA,56,0,20,133,0.0,0.0,0.02807233168807165,Múltipla,Sim
101,322,RJ,NITEROI,55,0,4,111,0.0,0.0,0.03345010469339234,Dupla,Não
116,225,SP,GUARULHOS,55,0,7,117,0.0,0.0,0.03178924566273337,Múltipla,Sim
40,121,RJ,DUQUE DE CAXIAS,51,3,4,141,0.02127659574468085,0.007261943876534137,0.06068447768552231,Múltipla,Sim
101,210,SC,SAO JOSE,50,1,11,126,0.007936507936507936,0.0014023650608123127,0.043586799985160754,Múltipla,Sim
101,203,SC,SAO JOSE,50,3,15,128,0.0234375,0.008002416396755481,0.06664374505143222,Múltipla,Sim
101,69,PE,RECIFE,50,1,17,122,0.00819672131147541,0.0014483909512206967,0.04497080090682473,Múltipla,Sim
101,216,SC,PALHOCA,49,0,19,101,0.0,0.0,0.036640646399856064,Múltipla,Não
101,134,SC,BALNEARIO CAMBORIU,49,0,12,106,0.0,0.0,0.03497275857347219,Dupla,Sim
101,202,SC,SAO JOSE,49,0,15,116,0.0,0.0,0.0320545064996387,Múltipla,Sim
116,115,PR,CURITIBA,47,0,6,117,0.0,0.0,0.03178924566273337,Múltipla,Sim
101,68,PE,RECIFE,47,0,9,120,0.0,0.0,0.031019166418703472,Múltipla,Sim
116,186,RJ,NOVA IGUACU,46,1,8,113,0.008849557522123894,0.0015638760684392287,0.048430867917584386,Dupla,Não
282,4,SC,SAO JOSE,46,0,8,119,0.0,0.0,0.03127168024193949,Dupla,Sim
116,224,SP,GUARULHOS,46,1,3,108,0.009259259259259259,0.0016363608538834916,0.050593455193663206,Múltipla,Sim
101,266,ES,SERRA,45,1,6,112,0.008928571428571428,0.0015778547032921364,0.048848468308884875,Múltipla,Sim
381,484,MG,BETIM,45,1,11,124,0.008064516129032258,0.0014250064581251692,0.044267986054477064,Múltipla,Não
282,3,SC,FLORIANOPOLIS,45,1,8,111,0.009009009009009009,0.001592085487067213,0.04927333263527301,Múltipla,Sim
116,227,SP,GUARULHOS,44,3,6,76,0.039473684210526314,0.013514635094539595,0.10974787746545529,Múltipla,Sim
282,2,SC,FLORIANOPOLIS,44,2,9,118,0.01694915254237288,0.004660442504200446,0.05969744434803982,Múltipla,Sim
101,213,SC,PALHOCA,43,1,10,109,0.009174311926605505,0.001621331292545096,0.050145624591783226,Múltipla,Sim
116,218,SP,GUARULHOS,43,0,7,104,0.0,0.0,0.0356213543724519,Múltipla,Sim
280,28,SC,ARAQUARI,42,0,11,97,0.0,0.0,0.038094042525947676,Simples,Sim
101,268,ES,SERRA,42,0,6,99,0.0,0.0,0.03735321206782738,Dupla,Sim
116,126,PR,FAZENDA RIO GRANDE,42,2,9,111,0.018018018018018018,0.0049551787085280775,0.06332555284276004,Simples,Sim
282,16,SC,PALHOCA,42,0,13,104,0.0,0.0,0.0356213543724519,Simples,Sim
116,173,RJ,SAO JOAO DE MERITI,41,0,7,98,0.0,0.0,0.03771999012168059,Simples,Não
116,184,RJ,NOVA IGUACU,41,2,5,100,0.02,0.00550196755016235,0.07001179072854388,Dupla,Sim
101,118,SC,ITAJAI,41,0,8,88,0.0,0.0,0.041827066664892186,Múltipla,Sim
101,88,PB,JOAO PESSOA,41,1,17,75,0.013333333333333334,0.002357551139048661,0.0717336555442157,Dupla,Sim
40,109,RJ,DUQUE DE CAXIAS,41,1,6,82,0.012195121951219513,0.002155992081812344,0.06589339688413917,Múltipla,Sim
282,5,SC,SAO JOSE,41,1,9,94,0.010638297872340425,0.0018803957480879388,0.05782291296278561,Múltipla,Sim
116,223,SP,GUARULHOS,41,0,0,93,0.0,0.0,0.03966750261173513,Múltipla,Sim
40,120,RJ,DUQUE DE CAXIAS,41,2,6,116,0.017241379310344827,0.004741013203170528,0.06069092410682546,Múltipla,Sim
116,146,SP,SAO JOSE DOS CAMPOS,41,1,5,117,0.008547008547008548,0.00151035357379644,0.04682950327418935,Dupla,Sim
277,2,PR,PARANAGUA,40,2,11,112,0.017857142857142856,0.004910811536248817,0.06278048742116132,Simples,Sim
116,172,RJ,SAO JOAO DE MERITI,40,2,5,100,0.02,0.00550196755016235,0.07001179072854388,Dupla,Sim
101,269,ES,SERRA,39,0,13,91,0.0,0.0,0.04050400392888019,Simples,Não
101,212,SC,PALHOCA,39,0,15,109,0.0,0.0,0.03404297375132512,Múltipla,Não
40,105,RJ,DUQUE DE CAXIAS,39,1,4,86,0.011627906976744186,0.0020555686652495644,0.06296406589291723,Simples,Sim
101,215,SC,PALHOCA,39,1,9,85,0.011764705882352941,0.002079787134664099,0.0636717088249391,Dupla,Sim
101,199,SC,SAO JOSE,38,0,7,90,0.0,0.0,0.04093562556432677,Dupla,Sim
101,104,RN,NATAL,38,0,7,99,0.0,0.0,0.03735321206782738,Dupla,Não
381,491,MG,BETIM,38,1,10,97,0.010309278350515464,0.0018221648082868483,0.05610499024289902,Dupla,Sim
101,200,SC,BIGUACU,38,1,6,85,0.011764705882352941,0.002079787134664099,0.0636717088249391,Dupla,Não
101,119,SC,ITAJAI,38,1,3,92,0.010869565217391304,0.001921329040091714,0.059027856130625174,Múltipla,Sim
101,94,RN,NATAL,38,0,12,86,0.0,0.0,0.042758197285742205,Dupla,Sim
116,181,RJ,NOVA IGUACU,38,2,3,86,0.023255813953488372,0.006400926204270865,0.08088014562632054,Múltipla,Sim
116,220,SP,GUARULHOS,38,2,6,89,0.02247191011235955,0.006184398702128592,0.07827634674822492,Múltipla,Sim
101,211,SC,SAO JOSE,38,0,14,77,0.0,0.0,0.04751842528243406,Dupla,Sim
343,3,PI,TERESINA,37,0,17,87,0.0,0.0,0.042287506944120326,Múltipla,Sim
101,298,ES,VIANA,37,0,14,80,0.0,0.0,0.045818129535527094,Dupla,Sim
